,Date,Day,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,gameType,homeScore,awayScore,winner,loser,gameLoc_type,location,Team,Arena,Capacity,Sheet Size,Unnamed: 4,0,Attendance%
171,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,958,Mercyhurst,Merrimack,Non-Conference Game,3,2,Home Team,Away Team,home/away game,Mercyhurst,Mercyhurst,Mercyhurst Ice Center,1500.0,200x85,Map,85,0.6386666666666667
172,October 25 2014,Saturday,1900-01-01 19:10:00,1900-01-01 21:30:00,140,4446,Notre Dame,Niagara,Non-Conference Game,7,0,Home Team,Away Team,home/away game,Notre Dame,Notre Dame,Compton Family Ice Arena,5022.0,200x95,Map,95,0.8853046594982079
173,October 25 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:34:00,147,2490,Ferris State,Michigan Tech,WCHA Conference Game,1,2,Away Team,Home Team,home/away game,Ferris State,Ferris State,Ewigleben Ice Arena,2457.0,200x85,Map,85,1.0134310134310134
174,October 25 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:20:00,133,2631,Lake Superior State,Northern Michigan,WCHA Conference Game,0,3,Away Team,Home Team,home/away game,Lake Superior State,Lake Superior State,Taffy Abel Arena,3373.0,200x85,Map,85,0.7800177883190038
175,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:34:00,149,4063,Western Michigan,Alaska,Non-Conference Game,4,2,Home Team,Away Team,home/away game,Western Michigan,Western Michigan,Lawson Ice Arena,3667.0,200x85,Map,85,1.1079901827106626
176,October 25 2014,Saturday,1900-01-01 19:17:00,1900-01-01 21:47:00,150,5846,Boston University,Michigan,Non-Conference Game,3,2,Home Team,Away Team,home/away game,Boston University,Boston University,Agganis Arena,6300.0,200x90,Map,90,0.927936507936508
177,October 25 2014,Saturday,1900-01-01 19:30:00,1900-01-01 21:50:00,140,3346,Clarkson,Bowling Green,Non-Conference Game,4,5,Away Team,Home Team,home/away game,Clarkson,Clarkson,Cheel Arena,3000.0,200x85,Map,85,1.1153333333333333
178,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,9849,Minnesota,Bemidji State,Non-Conference Game,5,3,Home Team,Away Team,home/away game,Minnesota,Minnesota,3M Arena at Mariucci,10000.0,200x100,Map,100,0.9849
179,October 25 2014,Saturday,1900-01-01 20:05:00,1900-01-01 22:20:00,135,2663,Miami,St. Lawrence,Non-Conference Game,2,1,Home Team,Away Team,home/away game,Miami,Miami,Goggin Ice Center (Steve Cady Rink),3642.0,200x85,Map,85,0.7311916529379462
180,October 25 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:37:00,150,6038,Minnesota Duluth,Denver,National Collegiate Hockey Conference Conference Game,6,1,Home Team,Away Team,home/away game,Minnesota Duluth,Minnesota Duluth,AMSOIL Arena,6800.0,200x85,Map,85,0.8879411764705882
